author_list,affiliation,organization_type
Vincent Heuveline,University 26,University
Claude F. Leibovici,University 17,University
Dan Vladimir Nichita,University 5,University
Daniel Broseta,University 20,University
Ashok Vaseashta,University 2,University
Rajib Mukherjee,University 7,University
Urmila M. Diwekar,University 30,University
Arash Sarhangi Fard,University 9,University
Navid M. Famili,Company 4,Company
Patrick D. Anderson 0001,Company 4,Company
Folarin B. Oyebolu,University 20,University
Jürgen Branke,Company 19,Company
Richard Allmendinger 0001,Company 14,Company
Suzanne S. Farid,University 4,University
Ingmar Nopens,Company 7,Company
Krist V. Gernaey,University 14,University
Séverine Thérèse F. C. Mortier,University 16,University
Thomas De Beer,University 17,University
Chi-Wai Hui,University 5,University
Yingzong Liang,Company 3,Company
Cassiano Ranzan,University 14,University
Cristina S. Almeida,University 12,University
Fabio C. Diehl,Company 26,Company
Filipe Reolon,Company 17,Company
Giovani Gerevini,University 7,University
Jorge O. Trierweiler,Company 14,Company
Marcelo Farenzena,University 20,University
Mario C. M. M. Campos,Company 15,Company
Oscar F. Von Meien,University 6,University
Saul S. Neto,Company 10,Company
Thiago K. Anzai,Company 20,Company
Vinicius R. Rosa,Company 24,Company
Aleksander Sorsak,Company 11,Company
Zdravko Kravanja,Company 2,Company
Hans J. Pasman,University 15,University
James P. Bailey,University 17,University
Mahmoud M. El-Halwagi,University 10,University
Qingsheng Wang,University 25,University
Sunhwa Park,University 27,University
Amparo Galindo,Company 21,Company
Claire S. Adjiman,University 16,University
Edward J. Graham,Company 13,Company
George Jackson,Company 10,Company
Ye Seol Lee,Company 12,Company
Fengrong Chen,Company 5,Company
Michael F. Doherty,Company 26,Company
Michael F. Malone,University 6,University
Robert S. Huss,University 4,University
Amiya K. Jana,Company 7,Company
Raja Sinha,Company 18,Company
Hong Sui,University 29,University
Jialei Hou,University 7,University
Xingang Li,Company 26,Company
Andrey M. Kostin,Company 11,Company
Fernando D. Mele,University 11,University
Gonzalo Guillén-Gosálbez,University 1,University
Laureano Jiménez,Company 24,Company
Miguel J. Bagajewicz,Company 12,Company
Feng Qian,University 26,University
Quan Yuan,University 16,University
Mauri Sourander,Company 23,Company
Sirkka-Liisa Jämsä Jounela,University 5,University
Tiina Komulainen,Company 7,Company
Aruna Coimbatore Meenakshi Sundaram,Company 29,Company
Iftekhar A. Karimi,University 6,University
Jeffrey R. Seay,University 3,University
Abigail M. Pauley,Company 29,Company
Daniel E. Rivera,University 10,University
Danielle Symons Downs,University 16,University
Emily E. Hohman,University 8,University
Jennifer S. Savage,Company 22,Company
Krista S. Leonard,University 9,University
Penghong Guo,Company 4,Company
Sunil Deshpande,Company 27,Company
Yuwen Dong,University 27,University
Catherine Azzaro-Pantel,Company 5,Company
Eduardo Carrera,University 11,University
Damdae Park,University 24,University
Gon-Ho Kim,Company 5,Company
Junmo Koo,Company 23,Company
Sangwon Ryu,University 5,University
Youn-Woo Lee,University 6,University
Jeffrey E. Arbogast,Company 17,Company
Nicoleta Neagu,University 4,University
Tejinder Pal Singh 0002,University 4,University
Jairo Rúa,Company 24,Company
Lars Olof Nord,University 25,University
Magne Hillestad,University 26,University
Alexander M. Niziolek,Company 2,Company
Benjamin A. Wilhite,University 9,University
Christodoulos A. Floudas,University 20,University
Holly Butcher,University 9,University
Onur Onel,Company 22,Company
C. Zuluaga-Bedoya,University 27,University
Jose F. Garcia-Tirado,Company 23,Company
M. Ruiz-Botero,University 21,University
Manuel Ospina-Alarcón,University 10,University
Erdal Aydin,Company 7,Company
Gamze Is,University 9,University
Mine Dikbas,University 29,University
Mustafa Mutlu,University 17,University
Yaman Arkun,Company 21,Company
Dorota Antos,Company 20,Company
Grzegorz Ziomek,University 2,University
Chaohe Yang,University 2,University
Ping Wang,University 20,University
Zhihong Yuan,Company 23,Company
Franjo Cecelja,University 14,University
Nikolaos Trokanas,University 27,University
Tara Raafat,Company 3,Company
Christian Díaz-Ovalle,University 30,University
Julio de Lira-Flores,Company 1,Company
M. Sam Mannan,University 28,University
Richart Vázquez-Román,University 18,University
Ankur Kumar,University 10,University
Michael Baldea,Company 12,Company
Thomas F. Edgar,University 29,University
Christodoulos A. Floudas,University 4,University
George A. Khoury,Company 28,Company
Nikita Bhatia,Company 16,Company
Anikesh Kumar,Company 26,Company
Min-Sen Chiu,Company 14,Company
Rames C. Panda,University 20,University
Ana Paula F. D. Barbosa-Póvoa,University 25,University
Henrique A. Matos,Company 15,Company
Ahmet Palazoglu,Company 28,Company
Kenneth R. Harris,Company 5,Company
Amit Varshney,Company 1,Company
Antonios Armaou,University 6,University
Costas D. Maranas,Company 6,Company
Francisco G. Vital-Lopez,University 13,University
John D. Hedengren,Company 5,Company
Jonathan R. Gallacher,University 15,University
Seyed Mostafa Safdarnejad,Company 29,Company
Botond Bertók,University 28,University
Ferenc Friedler,University 9,University
L. T. Fan 0001,Company 24,Company
Shahram Shafie,Company 6,Company
Yu-Chuan Lin,Company 19,Company
Eric Daymo,University 26,University
Matthias Hettel,Company 3,Company
Olaf Deutschmann,Company 3,Company
Charles Sung,University 7,University
Christos T. Maravelias,Company 13,Company
Franjo Cecelja,University 8,University
Mingyen Yu,Company 15,Company
Nikolaos Trokanas,Company 6,Company
Tara Raafat,Company 21,Company
Christos T. Maravelias,Company 12,Company
Diego M. Giménez,University 18,University
Gabriela P. Henning,Company 30,Company
Christos T. Maravelias,Company 11,Company
Sara Velez,University 28,University
Abdelfettah Bannari,Company 23,Company
Fouzi Kerdouss,Company 25,Company
M. Skrga,Company 23,Company
Pierre Proulx,University 20,University
Rachid Bannari,University 17,University
Y. Labrecque,University 26,University
Mohammad Shahab,University 21,University
Raghunathan Rengaswamy,Company 8,Company
Saikat Chakraborty,Company 10,Company
Tanmoy Sanyal,Company 14,Company
Christodoulos A. Floudas,University 8,University
Chrysanthos E. Gounaris,Company 1,Company
Ruth Misener,Company 29,Company
Benjamin Roe,University 24,University
Lazaros G. Papageorgiou,University 29,University
Nilay Shah,University 3,University
Anshul Agarwal,University 22,University
Ignacio E. Grossmann,University 18,University
John M. Wassick,Company 4,Company
Pablo García-Herreros,University 9,University
M. M. Faruque Hasan,University 9,University
Manali S. Zantye,Company 6,Company
Monzure-Khoda Kazi,University 6,University
Balasubramaniam Srinivasan 0001,Company 28,Company
F. Esmaeilzadeh Azar,University 5,University
Michel Perrier,University 29,University
Francesco Borrelli,University 14,University
Sergey Vichik,University 16,University
Deepak Rudrappa,University 5,University
Paul Blum,Company 9,Company
Rahul Tevatia,Company 27,Company
Yasar Demirel,University 15,University
Alexis J. Vallarella,Company 7,Company
David A. R. Zumoffen,Company 27,Company
Lautaro Braccia,Company 19,Company
P. A. Luppi,Company 1,Company
Jiaze Ma,University 14,University
Victor M. Zavala,Company 12,Company
Ankan Kumar,University 26,University
Sandip Mazumder,University 15,University
Anshul Agarwal,University 29,University
Bruno A. Calfa,University 11,University
Ignacio E. Grossmann,University 26,University
John M. Wassick,University 2,University
Scott J. Bury,University 30,University
Fengqi You,University 6,University
Jian Gong,University 19,University
Minbo Yang,University 23,University
Alexander M. Niziolek,Company 13,Company
Christodoulos A. Floudas,University 6,University
M. M. Faruque Hasan,Company 15,Company
Onur Onel,Company 15,Company
Brent R. Young,Company 27,Company
Rodolfo Tellez,University 21,University
Timothy J. Ross,Company 8,Company
William Y. Svrcek,Company 28,Company
Thokozani Majozi,Company 27,Company
Thomas Pattinson,Company 20,Company
David A. R. Zumoffen,Company 7,Company
Alessandro Erto,Company 30,Company
Asma Nakhli,University 12,University
Barbara Ernst,Company 21,Company
Felycia Edi Soetaredjo,Company 19,Company
Khadra-Hanane Toumi,University 23,University
Manel Bergaoui,University 29,University
Marco Balsamo,Company 1,Company
Mohamed Khalfaoui,University 9,University
Suryadi Ismadji,Company 18,Company
Yacine Benguerba,Company 16,Company
Babji Srinivasan,Company 4,Company
Raghunathan Rengaswamy,University 4,University
Ulaganathan Nallasivam,University 24,University
Duncan M. Fraser,Company 5,Company
Sharifah Rafidah Wan Alwi,Company 5,Company
Wasiu A. Oladosu,University 24,University
Yanwarizal,University 8,University
Zainuddin A. Manan,Company 28,Company
Arthur Westerberg,Company 21,Company
Eswaran Subrahmanian,University 18,University
Lifei Cheng,Company 6,Company
Arezou Jafari,Company 3,Company
Ilkka Turunen,Company 10,Company
Manouchehr Vossoughi,University 10,University
Seyyed Mohammad Mousavi,University 15,University
Soheila Yaghmaei,Company 26,Company
Christopher G. J. Baker,Company 26,Company
Haitham M. S. Lababidi,University 12,University
Geir Skaugen,University 27,University
Harald Taxt Walnum,Company 25,Company
Kjell Kolsaker,University 13,University
Øivind Wilhelmsen,University 25,University
He Jin,University 22,University
Pei Liu 0002,Company 19,Company
Zheng Li 0019,Company 23,Company
Ignacio E. Grossmann,Company 2,Company
Philipp A. Trotter,Company 10,Company
Sebastian Terrazas-Moreno,University 27,University
Dulce C. M. Silva,Company 19,Company
Filipe J. M. Neves,University 26,University
Nuno M. C. Oliveira,University 8,University
Ananthanarayanan Nochur,University 10,University
Hiranmayee Vedam,Company 4,Company
Pradeep Viswanathan,Company 30,Company
Rajagopalan Srinivasan,University 26,University
Ahmad Addo,University 3,University
Fabrice Abunde Neba,Company 30,Company
Hoese Michel Tornyeviadzi,Company 27,Company
John Morken,Company 27,Company
Nana Y. Asiedu,Company 4,Company
Razak Seidu,University 29,University
Stein W. Østerhus,Company 7,Company
Ali Cinar,University 7,University
Caterina Lazaro Martinez,University 18,University
Elizabeth Littlejohn,Company 30,Company
Iman Hajizadeh,University 26,University
Jianyuan Feng,Company 21,Company
Kamuran Turksoy,Company 20,Company
Louis Philipson,Company 9,Company
Mert Sevil,University 23,University
Mudassir M. Rashid,University 11,University
Nicole Hobbs,Company 26,Company
Rachel Brandt,University 22,University
Sediqeh Samadi,Company 1,Company
Xia Yu,University 14,University
Zacharie Maloney,Company 5,Company
Diogo A. C. Narciso,University 14,University
Efstratios N. Pistikopoulos,Company 2,Company
Fernando Gomes Martins,University 13,University
Iosif Pappas,Company 9,Company
Biao Huang 0001,Company 20,Company
Yuan Yuan 0007,Company 17,Company
Zukui Li,University 17,University
Arthur Tay,University 24,University
Boon Keng Lok,University 27,University
Jiewen Deng,University 24,University
Weng Khuen Ho,Company 17,Company
Ali R. Zomorrodi,University 19,University
Anupam Chowdhury,Company 4,Company
Costas D. Maranas,Company 5,Company
Tianyi Zhao,University 20,University
Yingzhe Zheng,University 12,University
Zhe Wu,Company 14,Company
Stephen L. Campbell,Company 27,Company
Gerhard Schembecker,Company 12,Company
Kerstin Wohlgemuth,University 7,University
Lorenz T. Biegler,University 6,University
Victor M. Zavala,Company 13,Company
Paul Serban Agachi,Company 13,Company
Valentin Plesu,University 16,University
Feng Qian 0004,University 16,University
Jian Long,University 22,University
Liang Zhao,Company 16,Company
Tianyue Li,University 9,University
Wenli Du,University 28,University
Alexander Nguyen,University 22,University
Antoine Deza,University 20,University
Ariel Boucheikhchoukh,University 12,University
Christopher L. E. Swartz,University 3,University
Shaffiq Jaffer,Company 30,Company
Valentin Berger,Company 11,Company
Xigang Yuan,University 20,University
Yiqing Luo,University 20,University
Yongjian Liu,Company 9,Company
Pei Liu 0002,University 30,University
Sisi Guo,University 20,University
Zheng Li 0019,Company 14,Company
Alessandra Saraceno,Company 12,Company
Gabriele Iorio,Company 22,Company
Stefano Curcio,University 9,University
Vincenza Calabrò,University 30,University
Bingzhen Chen,University 8,University
Lifeng Zhang,University 3,University
Zhihong Yuan,Company 27,Company
Gang Rong,University 20,University
Xuanzhi Jin,Company 15,Company
Yi Zhang 0034,University 17,University
Yiping Feng,Company 7,Company
Jinfeng Liu 0001,Company 2,Company
Xunyuan Yin,Company 10,Company
Alan Jones,University 28,University
Rudi Zauner,Company 3,Company
Stelios Rigopoulos,University 7,University
Pedro A. Castillo-Castillo,University 17,University
Vladimir Mahalec,University 5,University
Diogo A. Narciso,University 8,University
Efstratios N. Pistikopoulos,University 18,University
Luis F. Domínguez,University 5,University
Shengkun Jia,University 28,University
Sigurd Skogestad,University 16,University
Xigang Yuan,Company 21,Company
Xing Qian,Company 26,Company
Faisal Khan 0001,Company 21,Company
Rajeevan Arunthavanathan,Company 27,Company
Risza Rusli,University 7,University
Salim Ahmed,Company 26,Company
Syed Imtiaz,University 16,University
Jiandong Wang,Company 9,Company
Tongwen Chen,University 7,University
Andrzej Górak,University 26,University
Deenesh K. Babi,University 17,University
Johannes Holtbruegge,Company 13,Company
John M. Woodley,University 19,University
Philip Lutze,Company 11,Company
Rafiqul Gani,Company 12,Company
Eric von Lieres,Company 20,Company
Jakob Kjøbsted Huusom,Company 16,Company
Jens Abildskov,University 29,University
Kristian Meyer,Company 14,Company
Samuel Leweke,University 3,University
Jawwad A. Darr,Company 21,Company
Tian Lin,University 10,University
Xiao L. Weng,University 28,University
Xue Z. Wang,University 6,University
Yang Yang 0047,University 10,University
José Luis Hernández,Company 3,Company
Mabel C. Sánchez,Company 10,Company
Mercedes Carnero,Company 19,Company
Alexander Mitsos,Company 5,Company
Artur M. Schweidtmann,University 9,University
Jannik T. Lüthje,Company 28,Company
Wolfgang R. Huster,Company 25,Company
Anshuman Sinha,Company 10,Company
Fani Boukouvala,University 11,University
Gordon Hüllen,Company 20,Company
Jianyuan Zhai,University 26,University
Matthew J. Realff,Company 1,Company
Sun Hye Kim,University 7,University
Mario Francisco,Company 26,Company
Pastora Vega,Company 22,Company
Rosalba Lamanna de Rocco,University 24,University
Silvana Revollar,Company 12,Company
Behrooz Karimi,Company 10,Company
S. M. T. Fatemi Ghomi,Company 5,Company
S. Shahin Moghadam,University 7,University
Beiqing Chen,Company 21,Company
Debao Tan,University 15,University
Dingtao Shen,Company 18,Company
Song Ye,Company 17,Company
Wenlong Chen,University 9,University
Zukang Hu,Company 19,Company
A. R. Yusof,Company 6,Company
Abdul Latif Ahmad,University 5,University
I. A. Azid,University 14,University
K. N. Seetharamu,University 1,University
Thomas F. Edgar,Company 9,Company
Bjarne A. Foss,Company 28,Company
Bjarne A. Grimstad,University 16,University
Malcolm Woodman,Company 23,Company
Richard Heddle,Company 16,Company
Hakan Demir,Company 16,Company
Seda Keskin,Company 4,Company
Andres Aguirre,Company 16,Company
Anh Tran,University 12,University
Helen Durand,Company 15,Company
Marquis Crose,Company 1,Company
Panagiotis D. Christofides,University 6,University
Jorge Bondia,University 2,University
José-Luis Díez,University 1,University
Marga Giménez,University 10,University
Pantelis Georgiou,University 16,University
Paolo Rossetti,Company 5,Company
Pau Herrero,Company 1,Company
Vanessa Moscardó,University 25,University
Abdullah Saleem,Company 25,Company
Iftekhar A. Karimi,University 9,University
Raja Banerjee,Company 21,Company
Shamsuzzaman Farooq,Company 9,Company
Byung-Ho Song,University 9,University
Myung Won Seo,Company 6,Company
Sang-Done Kim,Company 18,Company
Thanh D. B. Nguyen,University 24,University
Young-Il Lim,Company 18,Company
Bram Steurtewagen,Company 19,Company
Dirk Van den Poel,University 20,University
Georgios K. D. Saharidis,Company 8,Company
Michel Minoux,University 30,University
Yves Dallery,Company 8,Company
A. Parente,University 22,University
Axel Coussement,Company 15,Company
Francesco Contino,University 25,University
Giuseppe D'Alessio,Company 7,Company
Quentin Van Haute,Company 30,Company
Steven Tipler,University 30,University
Denny Kok Sum Ng,University 13,University
Jecksin Ooi,University 1,University
Nishanth G. Chemmangattuvalappil,University 30,University
Enmin Feng,Company 27,Company
Haihua Yan,University 22,University
Jianxiong Ye,Company 24,Company
Xu Zhang,Company 5,Company
Brigitte Caussat,Company 18,Company
Nicolas Reuge,Company 8,Company
Gang Rong,University 14,University
Yi Zhang 0034,Company 12,Company
Yiping Feng,Company 5,Company
Hongping Zhang,University 24,University
Jie Ouyang,University 5,University
Ling Zhang,University 26,University
Supei Zheng,University 7,University
Jorge Chebeir,University 15,University
José A. Romagnoli,Company 21,Company
Wenbo Zhu,University 9,University
Markus Klingenberger,University 8,University
Martin Votsmeier,University 24,University
Ofer Hirsch,Company 13,Company
Chao Shang,Company 11,Company
Fengqi You,Company 11,Company
Alberto Martínez,Company 26,Company
Manuel Taifouris,University 6,University
Mariano Martín,University 9,University
Nats Esquejo,Company 10,Company
Fengqi You,Company 3,Company
Jiyao Gao,Company 26,Company
G. M. Cordeiro,Company 14,Company
Karoline Dantas Brito,Company 5,Company
Luis Gonzaga Sales Vasconcelos,Company 15,Company
M. F. Figueirêdo,Company 7,Company
Romildo Pereira Brito,Company 7,Company
Carlos A. Méndez,Company 19,Company
Jaime Cerdá,Company 22,Company
Antonio Flores-Tlacuahuac,University 15,University
Graciela Canseco-Melchor,Company 24,Company
Oscar Palma-Flores,Company 8,Company
Amogh V. Prabhu,University 21,University
Rick Good,University 15,University
Thomas F. Edgar,University 17,University
Brock C. Roughton,University 23,University
Elizabeth M. Topp,University 19,University
Kyle V. Camarda,Company 20,Company
Georgios M. Kopanos,University 21,University
Luis Puigjaner,Company 10,Company
Michael C. Georgiadis,Company 10,Company
Inmaculada García-Moral,Company 9,Company
Javier Fernández de Cañete,Company 1,Company
Pablo del Saz-Orozco,Company 21,Company
S. González Pérez,University 16,University
Franjo Cecelja,University 23,University
Linsey Koo,University 28,University
Nikolaos Trokanas,Company 18,Company
Dimitrios I. Gerogiorgis,University 7,University
Samir Diab,University 4,University
Carlos Pozo,University 6,University
Gonzalo Guillén-Gosálbez,Company 29,Company
Janire Pascual-González,Company 1,Company
Laureano Jiménez-Esteller,University 5,University
D. Ian Wilson,University 25,University
Thomas A. Pogiatzis,Company 20,Company
Vassilios S. Vassiliadis,University 15,University
Carlos Alberto Coelho Belchior,Company 4,Company
Jorge Afonso Cardoso Landeck,University 9,University
Rui Alexandre Matos Araújo,Company 12,Company
Fred D. Otto,Company 23,Company
Yoshikazu Ishii,Company 3,Company
Fernando Israel Gómez-Castro,University 22,University
Juan Gabriel Segovia-Hernández,Company 16,Company
Mahmoud M. El-Halwagi,Company 2,Company
Salvador Hernández-Castro,Company 15,Company
Vicente Rico-Ramírez,Company 8,Company
Michael Baldea,University 3,University
Omar Santander,Company 14,Company
Dongjie Zhang,Company 15,Company
Linwei Ma,University 2,University
Pei Liu 0002,Company 24,Company
Weidou Ni,University 7,University
Zheng Li 0019,University 13,University
Jaime Cerdá,Company 5,Company
Rodolfo G. Dondo,Company 27,Company
Chuanyi Yao,Company 4,Company
Hong-Mei Yao,University 2,University
Moses O. Tadé,Company 11,Company
Shaokun Tang,University 13,University
Yanyan Xu,University 24,University
Athanasios I. Papadopoulos,Company 19,Company
Patrick Linke,Company 24,Company
Michael Baldea,Company 27,Company
Prodromos Daoutidis,Company 12,Company
Denis Dochain,University 10,University
Martin Guay,University 3,University
Michel Perrier,Company 11,Company
Nicolas Hudon,Company 7,Company
Jie Bao 0002,University 23,University
Pesila Ratnayake,University 3,University
José Mauricio Pinto,University 7,University
Oscar D. Crisalle,Company 29,Company
Ignacio E. Grossmann,University 27,University
Jorge O. Trierweiler,Company 4,Company
Marcelo Escobar,University 27,University
Hamed Moradi,Company 10,Company
Mobina Mobaraki,Company 9,Company
Manuel Rodríguez 0003,University 26,University
Dongda Zhang,University 30,University
Ehecatl Antonio del Rio-Chanona,Company 17,Company
Max Mowbray,University 20,University
Panagiotis Petsagkourakis,Company 3,Company
Charles C. Solvason,University 17,University
Mario R. Eden,University 6,University
Nishanth G. Chemmangattuvalappil,University 14,University
Susilpa Bommareddy,University 10,University
Iiro Harjunkoski,University 4,University
Maryam Mohammadi,University 21,University
Daniel Friedrich,University 26,University
Eric S. Fraga,Company 1,Company
Joakim Beck,Company 1,Company
Stefano Brandani,University 22,University
Ivo Bouwmans,University 13,University
Koen H. van Dam,Company 27,Company
Michiel Houwing,Company 29,Company
Zofia Lukszo,Company 27,Company
Hyun-Kyu Choi,Company 17,Company
Joseph Sang-Il Kwon,University 14,University
Manoj Kumar,Company 13,Company
Neelima Singh,University 17,University
C. K. H. Lee,University 21,University
King Lun Choy,University 21,University
Y. N. Chan,University 14,University
Benjamin P. Omell,Company 1,Company
Debangsu Bhattacharyya,University 24,University
Elijah Hedrick,University 13,University
Katherine Hedrick,Company 18,Company
Stephen E. Zitney,Company 5,Company
Kishalay Mitra,University 25,University
Mahesh Ghivari,Company 20,Company
Dongda Zhang,University 22,University
Ehecatl Antonio del Rio-Chanona,Company 23,Company
Elton Pan,Company 13,Company
Max Mowbray,Company 12,Company
Panagiotis Petsagkourakis,University 4,University
Ignacio E. Grossmann,University 1,University
Lorenz T. Biegler,Company 19,Company
Christodoulos A. Floudas,Company 3,Company
Efstratios N. Pistikopoulos,University 10,University
R. Russell Rhinehart,Company 4,Company
Moo Sun Hong,Company 13,Company
Richard D. Braatz,University 11,University
Victor M. Zavala,University 23,University
Yue Shao,University 27,University
Bhavana Bhadriraju,Company 16,Company
Faisal Khan,University 22,University
Joseph Sang-Il Kwon,Company 17,Company
Borut Zupancic,University 6,University
Gasper Music,Company 8,Company
Gorazd Karer,University 17,University
Igor Skrjanc,University 22,University
Adel Mhamdi,Company 5,Company
Adrian Caspari,University 17,University
Alexander Mitsos,Company 24,Company
Lorenz T. Biegler,Company 13,Company
Lukas Lüken,University 17,University
Pascal Schäfer,Company 27,Company
Yannic Vaupel,Company 7,Company
Goran Strbac,University 10,University
Hossein Ameli,Company 10,Company
Mohammad Taghi Ameli,University 9,University
Vahid Shabazbegian,Company 29,Company
Vladimir Mahalec,University 10,University
Yoel Sanchez,Company 28,Company
Joseph K. Scott,Company 23,Company
Kai Shen,Company 20,Company
Christopher L. E. Swartz,Company 28,Company
Jesus Flores-Cerrillo,Company 15,Company
Yanan Cao,University 9,University
Bart Merci,University 24,University
Georgios D. Stefanidis,University 19,University
Geraldine J. Heynderickx,University 10,University
Guy B. Marin,Company 21,Company
Faisal I. Khan,University 27,University
Sidum Adumene,University 20,University
Sunday Adedigba,University 1,University
Abel Briones-Ramírez,Company 23,Company
Claudia Gutiérrez-Antonio,University 19,University
Christopher L. E. Swartz,Company 5,Company
Danielle Zyngier,Company 25,Company
François Welt,Company 29,Company
Pulkit Mathur,Company 22,Company
Daniel J. Garcia,University 11,University
Fengqi You,University 14,University
Adán Ramírez-López,University 25,University
C. Durán-Valencia,Company 1,Company
J. A. Cruz-Maya,Company 7,Company
P. Vite-Martínez,University 28,University
Simón López-Ramírez,Company 28,Company
Christodoulos A. Floudas,Company 14,Company
Josephine A. Elia,Company 15,Company
Richard C. Baliban,University 7,University
Xin Xiao,Company 1,Company
ChangKyoo Yoo,Company 7,Company
In-Beum Lee,University 19,University
Peter A. Vanrolleghem,University 25,University
Jia Li,Company 2,Company
Yinlun Huang,Company 22,Company
D. P. Rao,University 28,University
Nitin Kaistha,University 16,University
R. S. Thakur,Company 26,Company
Costin Sorin Bildea,Company 27,Company
Pietro Altimari,University 2,University
Kingsley E. Abhulimen,Company 4,Company
Cha Kun Lee,University 19,University
Mehmet Yunt,Company 2,Company
Paul I. Barton,University 2,University
Ioannis P. Androulakis,University 13,University
Sebastian Engell,University 15,University
Thomas Tometzki,University 6,University
Cristhian Almeida-Rivera,University 30,University
Peter Bongers,University 18,University
Jie Bao 0002,University 30,University
Nicolas Hudon,Company 2,Company
William L. Luyben,Company 5,Company
Jianxi Yu,University 19,University
Pei Liu,University 5,University
Zheng Li,University 28,University
Jay H. Lee,Company 29,Company
Joohyun Shin,Company 4,Company
Chunyue Song,University 5,University
Jun Zhao 0008,Company 6,Company
Pengwei Zhou,Company 2,Company
Zhijiang Shao,Company 6,Company
Zuhua Xu,University 22,University
Misrawati Misman,University 14,University
Sharifah Rafidah Wan Alwi,Company 21,Company
Wei Sze Chuah,University 17,University
Zainuddin A. Manan,University 10,University
Jay H. Lee,University 14,University
Muhammad Zaman,University 11,University
Loren dela Rosa,University 3,University
Tsz Yuet Matthew Chow,University 23,University
Yu Yang 0003,Company 29,Company
Carlo Pirola,University 25,University
Cristina Peretti,University 24,University
Federico Galli,Company 2,Company
Georg Fieg,Company 18,Company
Matthias Leipold,University 4,University
Sven Gruetzmann,University 16,University
Olaf Hinrichsen,University 1,University
Yefei Liu,Company 22,Company
Jay H. Lee,University 25,University
Kosan Roh,Company 17,Company
Rafiqul Gani,University 3,University
Rebecca Frauzem,Company 3,Company
Tuan B. H. Nguyen,University 19,University
Christodoulos A. Floudas,Company 8,Company
Jie Li,Company 16,Company
Qiuhua Tang,Company 20,Company
Xin Xiao,University 8,University
Yun Ye,Company 2,Company
Zukui Li,University 25,University
Arturo Jiménez-Gutiérrez,Company 18,Company
José María Ponce-Ortega,Company 27,Company
Medardo Serna-González,Company 29,Company
Aravind Devanand,University 7,University
Feroz Farazi,Company 29,Company
Gourab Karmakar,Company 12,Company
Iftekhar A. Karimi,University 1,University
Markus Kraft,Company 13,Company
Mei Qi Lim,Company 14,Company
Nenad B. Krdzavac,University 10,University
Yi Shyh Eddy Foo,Company 30,Company
Ester de la Fuente,University 3,University
Mariano Martín,University 30,University
Anik Chaturbedi,University 24,University
Franklin E. Bettencourt,University 17,University
Rohit Ramachandran,University 16,University
A. O. S. Costa,Company 19,Company
E. L. Lima,University 30,University
Evaristo Chalbaud Biscaia Jr.,Company 16,Company
Pranav Bhaswanth Madabhushi,Company 8,Company
Thomas A. Adams II,University 10,University
Tahir I. Malik,University 3,University
Yadunandan L. Dar,University 17,University
David A. R. Zumoffen,University 6,University
Estanislao Musulin,Company 30,Company
Kuo-Tsong Yu,Company 5,Company
Xigang Yuan,University 6,University
Xuepu Cao,Company 5,Company
Yiqing Luo,Company 14,Company
Zhiwen Qi,University 2,University
Hector M. Budman,Company 24,Company
Xin Shen,University 8,University
Fernando Israel Gómez-Castro,Company 19,Company
Guillermo Gonzalez-Alatorre,University 4,University
Moises A. Petriz-Prieto,University 21,University
Urmila M. Diwekar,Company 29,Company
Vicente Rico-Ramírez,Company 14,Company
André Bardow,Company 3,Company
Maike Hennen,Company 25,Company
Matthias Lampe,University 14,University
Philip Voll,Company 24,Company
Sarah Postels,Company 9,Company
Alkis Vazacopoulos,Company 13,Company
Brenno C. Menezes,Company 15,Company
Ignacio E. Grossmann,Company 7,Company
Jeffrey Dean Kelly,University 30,University
Christian Klanke,University 24,University
Francesc Corominas,Company 7,Company
Sebastian Engell,Company 29,Company
Vassilios Yfantis,University 18,University
Guangle Bu,Company 4,Company
Tingran Zhao,University 3,University
Yinglong Wang,University 11,University
Yongkun Wang,Company 24,Company
Zhaoyou Zhu,University 25,University
Zhen Zhang,University 4,University
Huanhuan Chen,Company 2,Company
Peter Tiño,University 30,University
Xin Yao 0001,Company 21,Company
Christian Hoffmann,Company 6,Company
Erik Esche,Company 18,Company
Jens-Uwe Repke,Company 22,Company
Joris Weigert,Company 13,Company
Guido Sand,University 16,University
Radoslav Paulen,University 15,University
Sergio Lucia,Company 28,Company
Jayashree Kalyanaraman,Company 10,Company
Matthew J. Realff,University 23,University
Ryan P. Lively,Company 18,Company
Yanfang Fan,Company 30,Company
Ying Labreche,University 22,University
Yoshiaki Kawajiri,University 21,University
Estanislao Musulin,University 18,University
Fernando Roda,University 20,University
Marta Basualdo,University 18,University
Elizabeth M. Topp,Company 17,Company
Kyle V. Camarda,University 1,University
M. Southard,Company 26,Company
S. Siddhaye,Company 27,Company
Antonis C. Kokossis,University 3,University
Zhigang Shang,Company 16,Company
Angiras Menon,Company 28,Company
Daniel Nurkowski,Company 22,Company
Feroz Farazi,Company 25,Company
Jethro Akroyd,Company 19,Company
Markus Kraft,University 12,University
Nenad B. Krdzavac,University 29,University
Sebastian Mosbach,Company 13,Company
Amiya K. Jana,Company 10,Company
Santosh V. Mali,Company 12,Company
J. Prakash,Company 14,Company
P. Kanagasabapathy,University 4,University
S. Narayanan,University 29,University
Claude F. Leibovici,University 20,University
Dan Vladimir Nichita,Company 24,Company
Gintaras V. Reklaitis,Company 9,Company
